Index,Carat,Cut,Color,Clarity,Depth,Table,Price,x,y,z,Size,Cut_number_classification,Color_number_classification,Clarity_number_classification
47,"0,32",very Good,H,SI2,"61,8","55,0",403,"4,35","4,42","2,71","52,11",3,3,2
48,"0,32",Good,H,SI2,"63,8","56,0",403,"4,36","4,38","2,79","53,28",2,3,2
49,"0,25",very Good,E,VS2,"63,3","60,0",404,"4,0","4,03","2,54","40,94",3,6,4
50,"0,29",very Good,H,SI2,"60,7","60,0",404,"4,33","4,37","2,64","49,95",3,3,2
52,"0,23",Ideal,G,VS1,"61,9","54,0",404,"3,93","3,95","2,44","37,88",5,4,5
53,"0,32",Ideal,I,SI1,"60,9","55,0",404,"4,45","4,48","2,72","54,23",5,2,3
54,"0,22",Premium,E,VS2,"61,6","58,0",404,"3,93","3,89","2,41","36,84",4,6,4
55,"0,22",Premium,D,VS2,"59,3","62,0",404,"3,91","3,88","2,31","35,04",4,7,4
56,"0,3",Ideal,I,SI2,"61,0","59,0",405,"4,3","4,33","2,63","48,97",5,2,2
57,"0,3",Premium,J,SI2,"59,3","61,0",405,"4,43","4,38","2,61","50,64",4,1,2
58,"0,3",very Good,I,SI1,"62,6","57,0",405,"4,25","4,28","2,67","48,57",3,2,3
59,"0,3",very Good,I,SI1,"63,0","57,0",405,"4,28","4,32","2,71","50,11",3,2,3
60,"0,3",Good,I,SI1,"63,2","55,0",405,"4,25","4,29","2,7","49,23",2,2,3
61,"0,35",Ideal,I,VS1,"60,9","57,0",552,"4,54","4,59","2,78","57,93",5,2,5
62,"0,3",Premium,D,SI1,"62,6","59,0",552,"4,23","4,27","2,66","48,05",4,7,3
63,"0,3",Ideal,D,SI1,"62,5","57,0",552,"4,29","4,32","2,69","49,85",5,7,3
64,"0,3",Ideal,D,SI1,"62,1","56,0",552,"4,3","4,33","2,68","49,9",5,7,3
65,"0,42",Premium,I,SI2,"61,5","59,0",552,"4,78","4,84","2,96","68,48",4,2,2
66,"0,28",Ideal,G,VVS2,"61,4","56,0",553,"4,19","4,22","2,58","45,62",5,4,6
67,"0,32",Ideal,I,VVS1,"62,0","55,3",553,"4,39","4,42","2,73","52,97",5,2,7
68,"0,31",very Good,G,SI1,"63,3","57,0",553,"4,33","4,3","2,73","50,83",3,4,3
69,"0,31",Premium,G,SI1,"61,8","58,0",553,"4,35","4,32","2,68","50,36",4,4,3
70,"0,24",Premium,E,VVS1,"60,7","58,0",553,"4,01","4,03","2,44","39,43",4,6,7
71,"0,24",very Good,D,VVS1,"61,5","60,0",553,"3,97","4,0","2,45","38,91",3,7,7
72,"0,3",very Good,H,SI1,"63,1","56,0",554,"4,29","4,27","2,7","49,46",3,3,3
73,"0,3",Premium,H,SI1,"62,9","59,0",554,"4,28","4,24","2,68","48,63",4,3,3
74,"0,3",Premium,H,SI1,"62,5","57,0",554,"4,29","4,25","2,67","48,68",4,3,3
75,"0,3",Good,H,SI1,"63,7","57,0",554,"4,28","4,26","2,72","49,59",2,3,3
77,"0,26",very Good,E,VVS2,"59,9","58,0",554,"4,15","4,23","2,51","44,06",3,6,6
78,"0,26",very Good,D,VVS2,"62,4","54,0",554,"4,08","4,13","2,56","43,14",3,7,6
79,"0,26",very Good,D,VVS2,"62,8","60,0",554,"4,01","4,05","2,53","41,09",3,7,6
80,"0,26",very Good,E,VVS1,"62,6","59,0",554,"4,06","4,09","2,55","42,34",3,6,7
81,"0,26",very Good,E,VVS1,"63,4","59,0",554,"4,0","4,04","2,55","41,21",3,6,7
82,"0,26",very Good,D,VVS1,"62,1","60,0",554,"4,03","4,12","2,53","42,01",3,7,7
83,"0,26",Ideal,E,VVS2,"62,9","58,0",554,"4,02","4,06","2,54","41,46",5,6,6
84,"0,38",Ideal,I,SI2,"61,6","56,0",554,"4,65","4,67","2,87","62,32",5,2,2
85,"0,26",Good,E,VVS1,"57,9","60,0",554,"4,22","4,25","2,45","43,94",2,6,7
86,"0,24",Premium,G,VVS1,"62,3","59,0",554,"3,95","3,92","2,45","37,94",4,4,7
87,"0,24",Premium,H,VVS1,"61,2","58,0",554,"4,01","3,96","2,44","38,75",4,3,7
88,"0,24",Premium,H,VVS1,"60,8","59,0",554,"4,02","4,0","2,44","39,24",4,3,7
89,"0,24",Premium,H,VVS2,"60,7","58,0",554,"4,07","4,04","2,46","40,45",4,3,6
90,"0,32",Premium,I,SI1,"62,9","58,0",554,"4,35","4,33","2,73","51,42",4,2,3
91,"0,7",Ideal,E,SI1,"62,5","57,0",2757,"5,7","5,72","3,57","116,4",5,6,3
92,"0,86",Fair,E,SI2,"55,1","69,0",2757,"6,45","6,33","3,52","143,72",1,6,2
93,"0,7",Ideal,G,VS2,"61,6","56,0",2757,"5,7","5,67","3,5","113,12",5,4,4
94,"0,71",very Good,E,VS2,"62,4","57,0",2759,"5,68","5,73","3,56","115,87",3,6,4
95,"0,78",very Good,G,SI2,"63,8","56,0",2759,"5,81","5,85","3,72","126,44",3,4,2
96,"0,7",Good,E,VS2,"57,5","58,0",2759,"5,85","5,9","3,38","116,66",2,6,4
99,"0,73",very Good,E,SI1,"61,6","59,0",2760,"5,77","5,78","3,56","118,73",3,6,3
100,"0,8",Premium,H,SI1,"61,5","58,0",2760,"5,97","5,93","3,66","129,57",4,3,3
101,"0,75",very Good,D,SI1,"63,2","56,0",2760,"5,8","5,75","3,65","121,73",3,7,3
102,"0,75",Premium,E,SI1,"59,9","54,0",2760,"6,0","5,96","3,58","128,02",4,6,3
103,"0,74",Ideal,G,SI1,"61,6","55,0",2760,"5,8","5,85","3,59","121,81",5,4,3
104,"0,75",Premium,G,VS2,"61,7","58,0",2760,"5,85","5,79","3,59","121,6",4,4,4
105,"0,8",Ideal,I,VS1,"62,9","56,0",2760,"5,94","5,87","3,72","129,71",5,2,5
106,"0,75",Ideal,G,SI1,"62,2","55,0",2760,"5,87","5,8","3,63","123,59",5,4,3
107,"0,8",Premium,G,SI1,"63,0","59,0",2760,"5,9","5,81","3,69","126,49",4,4,3
108,"0,74",Ideal,I,VVS2,"62,3","55,0",2761,"5,77","5,81","3,61","121,02",5,2,6
110,"0,59",Ideal,E,VVS2,"62,0","55,0",2761,"5,38","5,43","3,35","97,86",5,6,6
112,"0,74",Ideal,E,SI2,"62,2","56,0",2761,"5,8","5,84","3,62","122,62",5,6,2
113,"0,9",Premium,I,VS2,"63,0","58,0",2761,"6,16","6,12","3,87","145,9",4,2,4
114,"0,74",very Good,G,SI1,"62,2","59,0",2762,"5,73","5,82","3,59","119,72",3,4,3
118,"0,71",Ideal,G,VS2,"62,4","54,0",2762,"5,72","5,76","3,58","117,95",5,4,4
119,"0,7",Ideal,E,VS2,"60,7","58,0",2762,"5,73","5,76","3,49","115,19",5,6,4
121,"0,71",Ideal,D,SI2,"62,3","56,0",2762,"5,73","5,69","3,56","116,07",5,7,2
122,"0,74",Ideal,E,SI1,"62,3","54,0",2762,"5,8","5,83","3,62","122,41",5,6,3
127,"0,91",Premium,H,SI1,"61,4","56,0",2763,"6,09","5,97","3,7","134,52",4,3,3
128,"0,61",very Good,D,VVS2,"59,6","57,0",2763,"5,56","5,58","3,32","103,0",3,7,6
129,"0,91",Fair,H,SI2,"64,4","57,0",2763,"6,11","6,09","3,93","146,23",1,3,2
130,"0,91",Fair,H,SI2,"65,7","60,0",2763,"6,03","5,99","3,95","142,67",1,3,2
131,"0,77",Ideal,H,VS2,"62,0","56,0",2763,"5,89","5,86","3,64","125,64",5,3,4
132,"0,71",very Good,D,SI1,"63,6","58,0",2764,"5,64","5,68","3,6","115,33",3,7,3
133,"0,71",Ideal,D,SI1,"61,9","59,0",2764,"5,69","5,72","3,53","114,89",5,7,3
134,"0,7",very Good,E,VS2,"62,6","60,0",2765,"5,62","5,65","3,53","112,09",3,6,4
135,"0,77",very Good,H,VS1,"61,3","60,0",2765,"5,88","5,9","3,61","125,24",3,3,5
136,"0,63",Premium,E,VVS1,"60,9","60,0",2765,"5,52","5,55","3,37","103,24",4,6,7
139,"0,76",Ideal,H,SI1,"61,2","57,0",2765,"5,88","5,91","3,61","125,45",5,3,3
140,"0,64",Ideal,G,VVS1,"61,9","56,0",2766,"5,53","5,56","3,43","105,46",5,4,7
141,"0,71",Premium,G,VS2,"60,9","57,0",2766,"5,78","5,75","3,51","116,65",4,4,4
142,"0,71",Premium,G,VS2,"59,8","56,0",2766,"5,89","5,81","3,5","119,77",4,4,4
143,"0,7",very Good,D,VS2,"61,8","55,0",2767,"5,68","5,72","3,52","114,36",3,7,4
145,"0,71",Ideal,D,SI2,"61,6","55,0",2767,"5,74","5,76","3,54","117,04",5,7,2
146,"0,7",Good,H,VVS2,"62,1","64,0",2767,"5,62","5,65","3,5","111,14",2,3,6
147,"0,71",very Good,G,VS1,"63,3","59,0",2768,"5,52","5,61","3,52","109,0",3,4,5
148,"0,73",very Good,D,SI1,"60,2","56,0",2768,"5,83","5,87","3,52","120,46",3,7,3
149,"0,7",very Good,D,SI1,"61,1","58,0",2768,"5,66","5,73","3,48","112,86",3,7,3
150,"0,7",Ideal,E,SI1,"60,9","57,0",2768,"5,73","5,76","3,5","115,52",5,6,3
151,"0,71",Premium,D,SI2,"61,7","59,0",2768,"5,71","5,67","3,51","113,64",4,7,2
152,"0,74",Ideal,I,SI1,"61,3","56,0",2769,"5,82","5,86","3,57","121,76",5,2,3
153,"0,71",Premium,D,VS2,"62,5","60,0",2770,"5,65","5,61","3,52","111,57",4,7,4
154,"0,73",Premium,G,VS2,"61,4","59,0",2770,"5,83","5,76","3,56","119,55",4,4,4
156,"0,76",Ideal,D,SI2,"62,4","57,0",2770,"5,78","5,83","3,62","121,98",5,7,2
158,"0,73",Premium,G,VS2,"60,7","58,0",2770,"5,87","5,82","3,55","121,28",4,4,4
159,"0,73",Premium,G,VS1,"61,5","58,0",2770,"5,79","5,75","3,55","118,19",4,4,5
160,"0,73",Ideal,D,SI2,"59,9","57,0",2770,"5,92","5,89","3,54","123,44",5,7,2
161,"0,73",Premium,G,VS2,"59,2","59,0",2770,"5,92","5,87","3,49","121,28",4,4,4
162,"0,72",very Good,H,VVS2,"60,3","56,0",2771,"5,81","5,83","3,51","118,89",3,3,6
164,"0,71",Ideal,G,VS2,"61,9","57,0",2771,"5,73","5,77","3,56","117,7",5,4,4
166,"0,73",very Good,H,VVS1,"60,4","59,0",2772,"5,83","5,89","3,54","121,56",3,3,7
168,"0,58",Ideal,G,VVS1,"61,5","55,0",2772,"5,39","5,44","3,33","97,64",5,4,7
170,"0,71",Good,E,VS2,"59,2","61,0",2772,"5,8","5,88","3,46","118,0",2,6,4
171,"0,75",Ideal,D,SI2,"61,3","56,0",2773,"5,85","5,89","3,6","124,04",5,7,2
172,"0,7",Premium,D,VS2,"58,0","62,0",2773,"5,87","5,78","3,38","114,68",4,7,4
173,"1,17",very Good,J,I1,"60,2","61,0",2774,"6,83","6,9","4,13","194,63",3,1,1
174,"0,6",Ideal,E,VS1,"61,7","55,0",2774,"5,41","5,44","3,35","98,59",5,6,5
175,"0,7",Ideal,E,SI1,"62,7","55,0",2774,"5,68","5,74","3,58","116,72",5,6,3
176,"0,83",Good,I,VS2,"64,6","54,0",2774,"5,85","5,88","3,79","130,37",2,2,4
178,"0,72",very Good,G,VS2,"63,7","56,4",2776,"5,62","5,69","3,61","115,44",3,4,4
179,"0,71",Premium,E,VS2,"62,7","58,0",2776,"5,74","5,68","3,58","116,72",4,6,4
180,"0,71",Ideal,E,VS2,"62,2","57,0",2776,"5,79","5,62","3,55","115,52",5,6,4
181,"0,54",Ideal,E,VVS2,"61,6","56,0",2776,"5,25","5,27","3,24","89,64",5,6,6
182,"0,54",Ideal,E,VVS2,"61,5","57,0",2776,"5,24","5,26","3,23","89,03",5,6,6
183,"0,72",Ideal,G,SI1,"61,8","56,0",2776,"5,72","5,75","3,55","116,76",5,4,3
184,"0,72",Ideal,G,SI1,"60,7","56,0",2776,"5,79","5,82","3,53","118,95",5,4,3
185,"0,72",Good,G,VS2,"59,7","60,5",2776,"5,8","5,84","3,47","117,54",2,4,4
186,"0,71",Ideal,G,SI1,"60,5","56,0",2776,"5,8","5,76","3,5","116,93",5,4,3
187,"0,7",very Good,D,VS1,"62,7","58,0",2777,"5,66","5,73","3,57","115,78",3,7,5
192,"0,7",Ideal,E,VS2,"62,1","55,0",2777,"5,7","5,67","3,53","114,09",5,6,4
193,"0,7",Premium,E,VS2,"61,1","60,0",2777,"5,71","5,64","3,47","111,75",4,6,4
194,"0,7",Premium,E,SI1,"60,0","59,0",2777,"5,79","5,75","3,46","115,19",4,6,3
195,"0,7",Premium,E,SI1,"61,2","57,0",2777,"5,73","5,68","3,49","113,59",4,6,3
196,"0,7",Premium,E,SI1,"62,7","59,0",2777,"5,67","5,63","3,54","113,0",4,6,3
197,"0,7",Premium,E,SI1,"61,0","57,0",2777,"5,73","5,68","3,48","113,26",4,6,3
198,"0,7",Premium,E,SI1,"61,0","58,0",2777,"5,78","5,72","3,51","116,05",4,6,3
199,"0,7",Ideal,E,SI1,"61,4","57,0",2777,"5,76","5,7","3,52","115,57",5,6,3
201,"0,7",very Good,E,SI1,"59,9","63,0",2777,"5,76","5,7","3,43","112,61",3,6,3
202,"0,7",Premium,E,SI1,"61,3","58,0",2777,"5,71","5,68","3,49","113,19",4,6,3
203,"0,7",Premium,E,SI1,"60,5","58,0",2777,"5,77","5,74","3,48","115,26",4,6,3
204,"0,7",Good,E,VS2,"64,1","59,0",2777,"5,64","5,59","3,6","113,5",2,6,4
205,"0,98",Fair,H,SI2,"67,9","60,0",2777,"6,05","5,97","4,08","147,36",1,3,2
207,"0,7",very Good,E,SI1,"63,2","60,0",2777,"5,6","5,51","3,51","108,3",3,6,3
209,"0,73",very Good,H,VS2,"60,8","56,0",2779,"5,82","5,84","3,55","120,66",3,3,4
210,"0,74",Ideal,E,SI1,"61,7","56,0",2779,"5,84","5,8","3,59","121,6",5,6,3
212,"0,77",Premium,G,VS2,"61,2","58,0",2780,"5,9","5,93","3,62","126,65",4,4,4
214,"0,74",Ideal,G,VS1,"61,5","55,0",2780,"5,81","5,86","3,59","122,23",5,4,5
215,"0,7",Ideal,G,VS1,"61,4","59,0",2780,"5,64","5,73","3,49","112,79",5,4,5
217,"0,77",Ideal,H,SI1,"62,2","56,0",2781,"5,83","5,88","3,64","124,78",5,3,3
218,"0,78",Ideal,H,SI1,"61,2","56,0",2781,"5,92","5,99","3,64","129,08",5,3,3
219,"0,72",very Good,H,VS1,"60,6","63,0",2782,"5,83","5,76","3,51","117,87",3,3,5
220,"0,53",very Good,D,VVS2,"57,5","64,0",2782,"5,34","5,37","3,08","88,32",3,7,6
221,"0,76",Ideal,G,VS2,"61,3","56,0",2782,"5,9","5,94","3,63","127,22",5,4,4
222,"0,7",Good,E,VS1,"57,2","62,0",2782,"5,81","5,77","3,31","110,96",2,6,5
223,"0,7",Premium,E,VS1,"62,9","60,0",2782,"5,62","5,54","3,51","109,28",4,6,5
224,"0,75",very Good,D,SI2,"63,1","58,0",2782,"5,78","5,73","3,63","120,22",3,7,2
225,"0,72",Ideal,D,SI1,"60,8","57,0",2782,"5,76","5,75","3,5","115,92",5,7,3
226,"0,72",Premium,D,SI1,"62,7","59,0",2782,"5,73","5,69","3,58","116,72",4,7,3
227,"0,7",Premium,D,SI1,"62,8","60,0",2782,"5,68","5,66","3,56","114,45",4,7,3
228,"0,84",Fair,G,SI1,"55,1","67,0",2782,"6,39","6,2","3,47","137,47",1,4,3
232,"0,79",very Good,H,VS1,"63,7","56,0",2784,"5,85","5,92","3,75","129,87",3,3,5
235,"0,64",Ideal,D,VS1,"61,5","56,0",2787,"5,54","5,55","3,41","104,85",5,7,5
236,"0,7",very Good,H,VVS1,"60,5","60,0",2788,"5,74","5,77","3,48","115,26",3,3,7
237,"0,83",very Good,I,VS1,"61,1","60,0",2788,"6,07","6,1","3,72","137,74",3,2,5
238,"0,76",Ideal,I,VVS2,"61,8","56,0",2788,"5,85","5,87","3,62","124,31",5,2,6
239,"0,71",Good,D,VS2,"63,3","56,0",2788,"5,64","5,68","3,58","114,69",2,7,4
240,"0,77",Good,G,VS1,"59,4","64,0",2788,"5,97","5,92","3,53","124,76",2,4,5
242,"1,01",Fair,E,I1,"64,5","58,0",2788,"6,29","6,21","4,03","157,42",1,6,1
243,"1,01",Premium,H,SI2,"62,7","59,0",2788,"6,31","6,22","3,93","154,25",4,3,2
245,"0,76",Good,E,SI1,"63,7","54,0",2789,"5,76","5,85","3,7","124,68",2,6,3
246,"0,76",Premium,E,SI1,"60,4","58,0",2789,"5,92","5,94","3,58","125,89",4,6,3
247,"0,76",Premium,E,SI1,"61,8","58,0",2789,"5,82","5,86","3,61","123,12",4,6,3
248,"1,05",very Good,J,SI2,"63,2","56,0",2789,"6,49","6,45","4,09","171,21",3,1,2
249,"0,81",Ideal,G,SI2,"61,6","56,0",2789,"5,97","6,01","3,69","132,4",5,4,2
250,"0,7",Ideal,E,SI1,"61,6","56,0",2789,"5,72","5,75","3,53","116,1",5,6,3
251,"0,55",Ideal,G,IF,"60,9","57,0",2789,"5,28","5,3","3,22","90,11",5,4,8
252,"0,81",Good,G,SI2,"61,0","61,0",2789,"5,94","5,99","3,64","129,51",2,4,2
253,"0,63",Premium,E,VVS2,"62,1","57,0",2789,"5,48","5,41","3,38","100,21",4,6,6
254,"0,63",Premium,E,VVS1,"60,9","60,0",2789,"5,55","5,52","3,37","103,24",4,6,7
255,"0,77",Premium,H,VS1,"61,3","60,0",2789,"5,9","5,88","3,61","125,24",4,3,5
256,"1,05",Fair,J,SI2,"65,8","59,0",2789,"6,41","6,27","4,18","168,0",1,1,2
257,"0,64",Ideal,G,IF,"61,3","56,0",2790,"5,54","5,58","3,41","105,41",5,4,8
258,"0,76",Premium,I,VVS1,"58,8","59,0",2790,"6,0","5,94","3,51","125,1",4,2,7
262,"0,87",very Good,I,SI1,"63,6","55,8",2791,"6,07","6,1","3,87","143,29",3,2,3
263,"0,73",Ideal,E,SI1,"62,2","56,0",2791,"5,74","5,78","3,58","118,77",5,6,3
264,"0,71",Premium,E,SI1,"59,2","59,0",2792,"5,83","5,86","3,46","118,21",4,6,3
265,"0,71",Premium,E,SI1,"61,8","59,0",2792,"5,7","5,75","3,54","116,02",4,6,3
266,"0,71",Ideal,E,SI1,"61,3","55,0",2792,"5,72","5,77","3,52","116,18",5,6,3
269,"0,76",Premium,H,VVS2,"59,6","57,0",2792,"5,91","5,86","3,51","121,56",4,3,6
271,"0,79",very Good,G,SI1,"60,6","57,0",2793,"5,98","6,06","3,65","132,27",3,4,3
272,"0,7",very Good,E,VS2,"62,9","57,0",2793,"5,66","5,69","3,57","114,97",3,6,4
273,"0,7",Good,E,VS2,"64,1","55,0",2793,"5,6","5,66","3,61","114,42",2,6,4
274,"0,76",Ideal,I,VS2,"61,3","56,0",2793,"5,87","5,91","3,61","125,24",5,2,4
275,"0,73",Ideal,H,VS2,"62,7","55,0",2793,"5,72","5,76","3,6","118,61",5,3,4
276,"0,79",very Good,E,SI1,"63,2","56,0",2794,"5,91","5,86","3,72","128,83",3,6,3
277,"0,71",very Good,E,VS2,"60,7","56,0",2795,"5,81","5,82","3,53","119,36",3,6,4
278,"0,81",Premium,I,VVS2,"61,9","60,0",2795,"5,91","5,86","3,64","126,06",4,2,6
281,"0,72",Premium,D,SI2,"62,0","60,0",2795,"5,73","5,69","3,54","115,42",4,7,2
282,"0,72",Premium,I,IF,"63,0","57,0",2795,"5,72","5,7","3,6","117,37",4,2,8
283,"0,81",Premium,H,VS2,"58,0","59,0",2795,"6,17","6,13","3,57","135,02",4,3,4
284,"0,72",Premium,G,VS2,"62,9","57,0",2795,"5,73","5,65","3,58","115,9",4,4,4
285,"1,0",Premium,I,SI2,"58,2","60,0",2795,"6,61","6,55","3,83","165,82",4,2,2
286,"0,73",Good,E,SI1,"63,2","58,0",2796,"5,7","5,76","3,62","118,85",2,6,3
287,"0,81",very Good,H,SI2,"61,3","59,0",2797,"5,94","6,01","3,66","130,66",3,3,2
288,"0,81",very Good,E,SI1,"60,3","60,0",2797,"6,07","6,1","3,67","135,89",3,6,3
289,"0,71",Premium,D,SI1,"62,7","60,0",2797,"5,67","5,71","3,57","115,58",4,7,3
290,"0,71",Premium,D,SI1,"61,3","58,0",2797,"5,73","5,75","3,52","115,98",4,7,3
291,"0,71",Premium,D,SI1,"61,6","60,0",2797,"5,74","5,69","3,52","114,97",4,7,3
293,"0,51",Ideal,D,VVS1,"61,7","56,0",2797,"5,12","5,16","3,17","83,75",5,7,7
294,"0,72",Ideal,G,VS2,"61,9","58,0",2797,"5,72","5,75","3,55","116,76",5,4,4
295,"0,74",Ideal,H,VS1,"61,8","58,0",2797,"5,77","5,81","3,58","120,01",5,3,5
296,"0,74",Ideal,H,VS1,"61,6","56,0",2797,"5,81","5,82","3,58","121,05",5,3,5
297,"0,7",Fair,G,VVS1,"58,8","66,0",2797,"5,81","5,9","3,44","117,92",1,4,7
299,"1,01",Fair,E,SI2,"67,4","60,0",2797,"6,19","6,05","4,13","154,67",1,6,2
300,"0,8",very Good,H,VS2,"63,4","60,0",2797,"5,92","5,82","3,72","128,17",3,3,4
301,"0,77",Ideal,I,VS1,"61,5","59,0",2798,"5,87","5,91","3,62","125,58",5,2,5
302,"0,83",very Good,E,SI2,"58,0","62,0",2799,"6,19","6,25","3,61","139,66",3,6,2
304,"0,78",Ideal,D,SI1,"61,9","57,0",2799,"5,91","5,86","3,64","126,06",5,7,3
305,"0,6",very Good,G,IF,"61,6","56,0",2800,"5,43","5,46","3,35","99,32",3,4,8
306,"0,9",Good,I,SI2,"62,2","59,0",2800,"6,07","6,11","3,79","140,56",2,2,2
307,"0,7",Premium,E,VS1,"62,2","58,0",2800,"5,6","5,66","3,5","110,94",4,6,5
308,"0,9",very Good,I,SI2,"61,3","56,0",2800,"6,17","6,23","3,8","146,07",3,2,2
309,"0,83",Ideal,G,SI1,"62,3","57,0",2800,"5,99","6,08","3,76","136,94",5,4,3
310,"0,83",Ideal,G,SI1,"61,8","57,0",2800,"6,03","6,07","3,74","136,89",5,4,3
311,"0,83",very Good,H,SI1,"62,5","59,0",2800,"5,95","6,02","3,74","133,96",3,3,3
312,"0,74",Premium,G,VS1,"62,9","60,0",2800,"5,74","5,68","3,59","117,05",4,4,5
313,"0,79",Ideal,I,VS1,"61,8","59,0",2800,"5,92","5,95","3,67","129,27",5,2,5
314,"0,61",Ideal,G,IF,"62,3","56,0",2800,"5,43","5,45","3,39","100,32",5,4,8
315,"0,76",Fair,G,VS1,"59,0","70,0",2800,"5,89","5,8","3,46","118,2",1,4,5
319,"0,75",Ideal,H,SI1,"60,4","57,0",2801,"5,93","5,96","3,59","126,88",5,3,3
324,"1,04",Premium,G,I1,"62,2","58,0",2801,"6,46","6,41","4,0","165,63",4,4,1
325,"1,0",Premium,J,SI2,"62,3","58,0",2801,"6,45","6,34","3,98","162,75",4,1,2
326,"0,87",very Good,G,SI2,"59,9","58,0",2802,"6,19","6,23","3,72","143,46",3,4,2
328,"0,72",Premium,E,VS2,"63,0","55,0",2802,"5,79","5,61","3,59","116,61",4,6,4
331,"0,74",very Good,E,SI1,"63,5","56,0",2803,"5,74","5,79","3,66","121,64",3,6,3
332,"0,71",Ideal,G,VS2,"61,3","56,0",2803,"5,75","5,71","3,51","115,24",5,4,4
333,"0,73",Ideal,E,SI1,"60,6","54,0",2803,"5,84","5,89","3,55","122,11",5,6,3
334,"0,7",Good,G,VS1,"65,1","58,0",2803,"5,56","5,59","3,63","112,82",2,4,5
